DISTRICT,COUNTY,SUBCOUNTY,PARISH,LongX,LatY
ABIM,LABWOR,LOTUKEI,ACHANGALI,33.59475303,2.53492483
ABIM,LABWOR,ALEREK,KULODWONG,33.70514019,2.94827705
ABIM,LABWOR,NYAKWAE,OPOPONGO,33.88987057,2.60224377
ABIM,LABWOR,ABIM TOWN COUNCIL,KALAKALA,33.65554449,2.66778419
ABIM,LABWOR,ABIM TOWN COUNCIL,KIRU,33.65859986,2.63538077
ABIM,LABWOR,LOTUKEI,ARIDAI,33.62123214,2.50446880
ABIM,LABWOR,NYAKWAE,ORETA,33.91645905,2.48577498
ABIM,LABWOR,MORULEM,AREMO,33.76218913,2.56642975
ABIM,LABWOR,ABIM TOWN COUNCIL,WIAWER,33.66174371,2.70785660
ABIM,LABWOR,MORULEM,ANGOLEBWAL,33.79370790,2.56629478
ABIM,LABWOR,LOTUKEI,GOTAPWOU,33.58273645,2.65074934
ABIM,LABWOR,ABIM,ATUNGA,33.67305750,2.76502602
ABIM,LABWOR,ABIM TOWN COUNCIL,OYARO,33.66510193,2.59840363
ABIM,LABWOR,MORULEM,ADEA,33.68414098,2.51488642
ABIM,LABWOR,ALEREK,WILELA,33.77412752,2.66445638
ABIM,LABWOR,LOTUKEI,OPOROTH,33.56065341,2.59663892
ABIM,LABWOR,LOTUKEI,GANGMING,33.58163242,2.55649254
ABIM,LABWOR,MORULEM,AKWANGAGWEL,33.71605811,2.62419113
ABIM,LABWOR,ABIM,AREMBWOLA,33.56605046,2.70722355
ABIM,LABWOR,LOTUKEI,ORWAMUGE,33.62271775,2.54793388
ABIM,LABWOR,ALEREK,OTUMPILI,33.74559546,2.79846597
ABIM,LABWOR,NYAKWAE,ROGOM,33.98434099,2.50490797
ABIM,LABWOR,MORULEM,KATABOK EAST,33.73955444,2.56149009
ABIM,LABWOR,LOTUKEI,AWACH,33.58179501,2.62710913
ABIM,LABWOR,ALEREK,LOYOROIT,33.67833226,2.83113869
ABIM,LABWOR,ABIM,KANU,33.60565966,2.72616671
ABIM,LABWOR,ALEREK,KOYA,33.79414301,2.73373845
ABIM,LABWOR,LOTUKEI,BARLYECH,33.61147592,2.60568987
ABIM,LABWOR,NYAKWAE,PUPU-KAMUYA,33.84058554,2.51076818
ABIM,LABWOR,ABIM,ANINATA,33.63024271,2.75888481
ABIM,LABWOR,MORULEM,KATABOK WEST,33.70765288,2.56215012
ABIM,LABWOR,NYAKWAE,KOBULIN,33.85195997,2.42295438
ADJUMANI,EAST MOYO,DZAIPI,ADIDI,31.95162817,3.30218966
ADJUMANI,EAST MOYO,OKUSIJONI,GULINYA,31.64179382,3.30110653
ADJUMANI,EAST MOYO,PAKELLE,NYIVURA,31.87871954,3.35250571
ADJUMANI,EAST MOYO,ADROPI,OPENZINZI,31.74768902,3.32217616
ADJUMANI,EAST MOYO,PAKELLE,FUDA,31.83290705,3.30299076
ADJUMANI,EAST MOYO,OFUA,OFUA CENTRAL,31.79747581,3.26040571
ADJUMANI,EAST MOYO,PAKELLE,MELIJO,31.87211337,3.11134288
ADJUMANI,EAST MOYO,ARINYAPI,ARASI,32.03774397,3.49315949
ADJUMANI,EAST MOYO,ADROPI,PALEMO,31.76280321,3.35493584
ADJUMANI,EAST MOYO,CIFORO,OKANGALI,31.66291842,3.34622092
ADJUMANI,EAST MOYO,OKUSIJONI,AYIRI,31.66452011,3.22267933
ADJUMANI,EAST MOYO,PAKELLE,PERECI,31.82437410,3.35936792
ADJUMANI,EAST MOYO,PACARA,OMI,31.80233799,3.51437720
ADJUMANI,EAST MOYO,OFUA,OPI,31.75914935,3.26250099
ADJUMANI,EAST MOYO,PACARA,ALERE,31.74892933,3.46653602
ADJUMANI,EAST MOYO,ARINYAPI,ZINYINI,32.01143891,3.44959961
ADJUMANI,EAST MOYO,ADJUMANI TOWN COUNCIL,CENTRAL,31.79506911,3.36424617
ADJUMANI,EAST MOYO,OKUSIJONI,MAAJI,31.54942750,3.06146952
